Scenario Number,Top 8 3rd place teams,1A,1B,1D,1E,1G,1I,1K,1L
176,ADFGIJKL,3I,3G,3J,3D,3A,3F,3L,3K
177,ADFGHJKL,3H,3G,3J,3D,3A,3F,3L,3K
178,ADFGHIKL,3H,3G,3I,3D,3A,3F,3L,3K
179,ADFGHIJL,3H,3G,3J,3D,3A,3F,3L,3I
180,ADFGHIJK,3H,3G,3J,3D,3A,3F,3I,3K
181,ADEHIJKL,3E,3J,3I,3D,3A,3H,3L,3K
182,ADEGIJKL,3E,3J,3I,3D,3A,3G,3L,3K
183,ADEGHJKL,3E,3G,3J,3D,3A,3H,3L,3K
184,ADEGHIKL,3E,3G,3I,3D,3A,3H,3L,3K
185,ADEGHIJL,3E,3G,3J,3D,3A,3H,3L,3I
186,ADEGHIJK,3E,3G,3J,3D,3A,3H,3I,3K
187,ADEFIJKL,3E,3J,3I,3D,3A,3F,3L,3K
188,ADEFHJKL,3H,3J,3E,3D,3A,3F,3L,3K
189,ADEFHIKL,3H,3E,3I,3D,3A,3F,3L,3K
190,ADEFHIJL,3H,3J,3E,3D,3A,3F,3L,3I
191,ADEFHIJK,3H,3J,3E,3D,3A,3F,3I,3K
192,ADEFGJKL,3E,3G,3J,3D,3A,3F,3L,3K
193,ADEFGIKL,3E,3G,3I,3D,3A,3F,3L,3K
194,ADEFGIJL,3E,3G,3J,3D,3A,3F,3L,3I
195,ADEFGIJK,3E,3G,3J,3D,3A,3F,3I,3K
196,ADEFGHKL,3H,3G,3E,3D,3A,3F,3L,3K
197,ADEFGHJL,3H,3G,3J,3D,3A,3F,3L,3E
198,ADEFGHJK,3H,3G,3J,3D,3A,3F,3E,3K
199,ADEFGHIL,3H,3G,3E,3D,3A,3F,3L,3I
200,ADEFGHIK,3H,3G,3E,3D,3A,3F,3I,3K
201,ADEFGHIJ,3H,3G,3J,3D,3A,3F,3E,3I
202,ACGHIJKL,3H,3J,3I,3C,3A,3G,3L,3K
203,ACFHIJKL,3H,3J,3I,3C,3A,3F,3L,3K
204,ACFGIJKL,3I,3G,3J,3C,3A,3F,3L,3K
205,ACFGHJKL,3H,3G,3J,3C,3A,3F,3L,3K
206,ACFGHIKL,3H,3G,3I,3C,3A,3F,3L,3K
207,ACFGHIJL,3H,3G,3J,3C,3A,3F,3L,3I
208,ACFGHIJK,3H,3G,3J,3C,3A,3F,3I,3K
209,ACEHIJKL,3E,3J,3I,3C,3A,3H,3L,3K
210,ACEGIJKL,3E,3J,3I,3C,3A,3G,3L,3K
211,ACEGHJKL,3E,3G,3J,3C,3A,3H,3L,3K
212,ACEGHIKL,3E,3G,3I,3C,3A,3H,3L,3K
213,ACEGHIJL,3E,3G,3J,3C,3A,3H,3L,3I
214,ACEGHIJK,3E,3G,3J,3C,3A,3H,3I,3K
215,ACEFIJKL,3E,3J,3I,3C,3A,3F,3L,3K
216,ACEFHJKL,3H,3J,3E,3C,3A,3F,3L,3K
217,ACEFHIKL,3H,3E,3I,3C,3A,3F,3L,3K
218,ACEFHIJL,3H,3J,3E,3C,3A,3F,3L,3I
219,ACEFHIJK,3H,3J,3E,3C,3A,3F,3I,3K
220,ACEFGJKL,3E,3G,3J,3C,3A,3F,3L,3K
221,ACEFGIKL,3E,3G,3I,3C,3A,3F,3L,3K
222,ACEFGIJL,3E,3G,3J,3C,3A,3F,3L,3I
223,ACEFGIJK,3E,3G,3J,3C,3A,3F,3I,3K
224,ACEFGHKL,3H,3G,3E,3C,3A,3F,3L,3K
225,ACEFGHJL,3H,3G,3J,3C,3A,3F,3L,3E
226,ACEFGHJK,3H,3G,3J,3C,3A,3F,3E,3K
227,ACEFGHIL,3H,3G,3E,3C,3A,3F,3L,3I
228,ACEFGHIK,3H,3G,3E,3C,3A,3F,3I,3K
229,ACEFGHIJ,3H,3G,3J,3C,3A,3F,3E,3I
230,ACDHIJKL,3H,3J,3I,3C,3A,3D,3L,3K
231,ACDGIJKL,3I,3G,3J,3C,3A,3D,3L,3K
232,ACDGHJKL,3H,3G,3J,3C,3A,3D,3L,3K
233,ACDGHIKL,3H,3G,3I,3C,3A,3D,3L,3K
234,ACDGHIJL,3H,3G,3J,3C,3A,3D,3L,3I
235,ACDGHIJK,3H,3G,3J,3C,3A,3D,3I,3K
236,ACDFIJKL,3C,3J,3I,3D,3A,3F,3L,3K
237,ACDFHJKL,3H,3J,3F,3C,3A,3D,3L,3K
238,ACDFHIKL,3H,3F,3I,3C,3A,3D,3L,3K
239,ACDFHIJL,3H,3J,3F,3C,3A,3D,3L,3I
240,ACDFHIJK,3H,3J,3F,3C,3A,3D,3I,3K
241,ACDFGJKL,3C,3G,3J,3D,3A,3F,3L,3K
242,ACDFGIKL,3C,3G,3I,3D,3A,3F,3L,3K
243,ACDFGIJL,3C,3G,3J,3D,3A,3F,3L,3I
244,ACDFGIJK,3C,3G,3J,3D,3A,3F,3I,3K
245,ACDFGHKL,3H,3G,3F,3C,3A,3D,3L,3K
246,ACDFGHJL,3C,3G,3J,3D,3A,3F,3L,3H
247,ACDFGHJK,3H,3G,3J,3C,3A,3F,3D,3K
248,ACDFGHIL,3H,3G,3F,3C,3A,3D,3L,3I
249,ACDFGHIK,3H,3G,3F,3C,3A,3D,3I,3K
250,ACDFGHIJ,3H,3G,3J,3C,3A,3F,3D,3I
251,ACDEIJKL,3E,3J,3I,3C,3A,3D,3L,3K
252,ACDEHJKL,3H,3J,3E,3C,3A,3D,3L,3K
253,ACDEHIKL,3H,3E,3I,3C,3A,3D,3L,3K
254,ACDEHIJL,3H,3J,3E,3C,3A,3D,3L,3I
255,ACDEHIJK,3H,3J,3E,3C,3A,3D,3I,3K
256,ACDEGJKL,3E,3G,3J,3C,3A,3D,3L,3K
257,ACDEGIKL,3E,3G,3I,3C,3A,3D,3L,3K
258,ACDEGIJL,3E,3G,3J,3C,3A,3D,3L,3I
259,ACDEGIJK,3E,3G,3J,3C,3A,3D,3I,3K
260,ACDEGHKL,3H,3G,3E,3C,3A,3D,3L,3K
261,ACDEGHJL,3H,3G,3J,3C,3A,3D,3L,3E
262,ACDEGHJK,3H,3G,3J,3C,3A,3D,3E,3K
263,ACDEGHIL,3H,3G,3E,3C,3A,3D,3L,3I
264,ACDEGHIK,3H,3G,3E,3C,3A,3D,3I,3K
265,ACDEGHIJ,3H,3G,3J,3C,3A,3D,3E,3I
266,ACDEFJKL,3C,3J,3E,3D,3A,3F,3L,3K
267,ACDEFIKL,3C,3E,3I,3D,3A,3F,3L,3K
268,ACDEFIJL,3C,3J,3E,3D,3A,3F,3L,3I
269,ACDEFIJK,3C,3J,3E,3D,3A,3F,3I,3K
270,ACDEFHKL,3H,3E,3F,3C,3A,3D,3L,3K
271,ACDEFHJL,3H,3J,3F,3C,3A,3D,3L,3E
272,ACDEFHJK,3H,3J,3E,3C,3A,3F,3D,3K
273,ACDEFHIL,3H,3E,3F,3C,3A,3D,3L,3I
274,ACDEFHIK,3H,3E,3F,3C,3A,3D,3I,3K
275,ACDEFHIJ,3H,3J,3E,3C,3A,3F,3D,3I
276,ACDEFGKL,3C,3G,3E,3D,3A,3F,3L,3K
277,ACDEFGJL,3C,3G,3J,3D,3A,3F,3L,3E
278,ACDEFGJK,3C,3G,3J,3D,3A,3F,3E,3K
279,ACDEFGIL,3C,3G,3E,3D,3A,3F,3L,3I
280,ACDEFGIK,3C,3G,3E,3D,3A,3F,3I,3K
281,ACDEFGIJ,3C,3G,3J,3D,3A,3F,3E,3I
282,ACDEFGHL,3H,3G,3F,3C,3A,3D,3L,3E
283,ACDEFGHK,3H,3G,3E,3C,3A,3F,3D,3K
284,ACDEFGHJ,3H,3G,3J,3C,3A,3F,3D,3E
285,ACDEFGHI,3H,3G,3E,3C,3A,3F,3D,3I
286,ABGHIJKL,3H,3J,3B,3A,3I,3G,3L,3K
287,ABFHIJKL,3H,3J,3B,3A,3I,3F,3L,3K
288,ABFGIJKL,3I,3J,3B,3F,3A,3G,3L,3K
289,ABFGHJKL,3H,3J,3B,3F,3A,3G,3L,3K
290,ABFGHIKL,3H,3G,3B,3A,3I,3F,3L,3K
291,ABFGHIJL,3H,3J,3B,3F,3A,3G,3L,3I
292,ABFGHIJK,3H,3J,3B,3F,3A,3G,3I,3K
293,ABEHIJKL,3E,3J,3B,3A,3I,3H,3L,3K
294,ABEGIJKL,3E,3J,3B,3A,3I,3G,3L,3K
295,ABEGHJKL,3E,3J,3B,3A,3H,3G,3L,3K
296,ABEGHIKL,3E,3G,3B,3A,3I,3H,3L,3K
297,ABEGHIJL,3E,3J,3B,3A,3H,3G,3L,3I
298,ABEGHIJK,3E,3J,3B,3A,3H,3G,3I,3K
299,ABEFIJKL,3E,3J,3B,3A,3I,3F,3L,3K
300,ABEFHJKL,3E,3J,3B,3F,3A,3H,3L,3K
301,ABEFHIKL,3E,3I,3B,3F,3A,3H,3L,3K
302,ABEFHIJL,3E,3J,3B,3F,3A,3H,3L,3I
303,ABEFHIJK,3E,3J,3B,3F,3A,3H,3I,3K
304,ABEFGJKL,3E,3J,3B,3F,3A,3G,3L,3K
305,ABEFGIKL,3E,3G,3B,3A,3I,3F,3L,3K
306,ABEFGIJL,3E,3J,3B,3F,3A,3G,3L,3I
307,ABEFGIJK,3E,3J,3B,3F,3A,3G,3I,3K
308,ABEFGHKL,3E,3G,3B,3F,3A,3H,3L,3K
309,ABEFGHJL,3H,3J,3B,3F,3A,3G,3L,3E
310,ABEFGHJK,3H,3J,3B,3F,3A,3G,3E,3K
311,ABEFGHIL,3E,3G,3B,3F,3A,3H,3L,3I
312,ABEFGHIK,3E,3G,3B,3F,3A,3H,3I,3K
313,ABEFGHIJ,3H,3J,3B,3F,3A,3G,3E,3I
314,ABDHIJKL,3I,3J,3B,3D,3A,3H,3L,3K
315,ABDGIJKL,3I,3J,3B,3D,3A,3G,3L,3K
316,ABDGHJKL,3H,3J,3B,3D,3A,3G,3L,3K
317,ABDGHIKL,3I,3G,3B,3D,3A,3H,3L,3K
318,ABDGHIJL,3H,3J,3B,3D,3A,3G,3L,3I
319,ABDGHIJK,3H,3J,3B,3D,3A,3G,3I,3K
320,ABDFIJKL,3I,3J,3B,3D,3A,3F,3L,3K
321,ABDFHJKL,3H,3J,3B,3D,3A,3F,3L,3K
322,ABDFHIKL,3H,3I,3B,3D,3A,3F,3L,3K
323,ABDFHIJL,3H,3J,3B,3D,3A,3F,3L,3I
324,ABDFHIJK,3H,3J,3B,3D,3A,3F,3I,3K
325,ABDFGJKL,3F,3J,3B,3D,3A,3G,3L,3K
326,ABDFGIKL,3I,3G,3B,3D,3A,3F,3L,3K
327,ABDFGIJL,3F,3J,3B,3D,3A,3G,3L,3I
328,ABDFGIJK,3F,3J,3B,3D,3A,3G,3I,3K
329,ABDFGHKL,3H,3G,3B,3D,3A,3F,3L,3K
330,ABDFGHJL,3H,3G,3B,3D,3A,3F,3L,3J
331,ABDFGHJK,3H,3G,3B,3D,3A,3F,3J,3K
332,ABDFGHIL,3H,3G,3B,3D,3A,3F,3L,3I
333,ABDFGHIK,3H,3G,3B,3D,3A,3F,3I,3K
334,ABDFGHIJ,3H,3G,3B,3D,3A,3F,3I,3J
335,ABDEIJKL,3E,3J,3B,3A,3I,3D,3L,3K
336,ABDEHJKL,3E,3J,3B,3D,3A,3H,3L,3K
337,ABDEHIKL,3E,3I,3B,3D,3A,3H,3L,3K
338,ABDEHIJL,3E,3J,3B,3D,3A,3H,3L,3I
339,ABDEHIJK,3E,3J,3B,3D,3A,3H,3I,3K
340,ABDEGJKL,3E,3J,3B,3D,3A,3G,3L,3K
341,ABDEGIKL,3E,3G,3B,3A,3I,3D,3L,3K
342,ABDEGIJL,3E,3J,3B,3D,3A,3G,3L,3I
343,ABDEGIJK,3E,3J,3B,3D,3A,3G,3I,3K
344,ABDEGHKL,3E,3G,3B,3D,3A,3H,3L,3K
345,ABDEGHJL,3H,3J,3B,3D,3A,3G,3L,3E
346,ABDEGHJK,3H,3J,3B,3D,3A,3G,3E,3K
347,ABDEGHIL,3E,3G,3B,3D,3A,3H,3L,3I
348,ABDEGHIK,3E,3G,3B,3D,3A,3H,3I,3K
349,ABDEGHIJ,3H,3J,3B,3D,3A,3G,3E,3I
350,ABDEFJKL,3E,3J,3B,3D,3A,3F,3L,3K
351,ABDEFIKL,3E,3I,3B,3D,3A,3F,3L,3K
352,ABDEFIJL,3E,3J,3B,3D,3A,3F,3L,3I
353,ABDEFIJK,3E,3J,3B,3D,3A,3F,3I,3K
354,ABDEFHKL,3H,3E,3B,3D,3A,3F,3L,3K
355,ABDEFHJL,3H,3J,3B,3D,3A,3F,3L,3E
356,ABDEFHJK,3H,3J,3B,3D,3A,3F,3E,3K
357,ABDEFHIL,3H,3E,3B,3D,3A,3F,3L,3I
358,ABDEFHIK,3H,3E,3B,3D,3A,3F,3I,3K
359,ABDEFHIJ,3H,3J,3B,3D,3A,3F,3E,3I
360,ABDEFGKL,3E,3G,3B,3D,3A,3F,3L,3K
361,ABDEFGJL,3E,3G,3B,3D,3A,3F,3L,3J
362,ABDEFGJK,3E,3G,3B,3D,3A,3F,3J,3K
363,ABDEFGIL,3E,3G,3B,3D,3A,3F,3L,3I
364,ABDEFGIK,3E,3G,3B,3D,3A,3F,3I,3K
365,ABDEFGIJ,3E,3G,3B,3D,3A,3F,3I,3J
366,ABDEFGHL,3H,3G,3B,3D,3A,3F,3L,3E
367,ABDEFGHK,3H,3G,3B,3D,3A,3F,3E,3K
368,ABDEFGHJ,3H,3G,3B,3D,3A,3F,3E,3J
369,ABDEFGHI,3H,3G,3B,3D,3A,3F,3E,3I
370,ABCHIJKL,3I,3J,3B,3C,3A,3H,3L,3K
371,ABCGIJKL,3I,3J,3B,3C,3A,3G,3L,3K
372,ABCGHJKL,3H,3J,3B,3C,3A,3G,3L,3K
373,ABCGHIKL,3I,3G,3B,3C,3A,3H,3L,3K
374,ABCGHIJL,3H,3J,3B,3C,3A,3G,3L,3I
375,ABCGHIJK,3H,3J,3B,3C,3A,3G,3I,3K
376,ABCFIJKL,3I,3J,3B,3C,3A,3F,3L,3K
377,ABCFHJKL,3H,3J,3B,3C,3A,3F,3L,3K
378,ABCFHIKL,3H,3I,3B,3C,3A,3F,3L,3K
379,ABCFHIJL,3H,3J,3B,3C,3A,3F,3L,3I
380,ABCFHIJK,3H,3J,3B,3C,3A,3F,3I,3K
381,ABCFGJKL,3C,3J,3B,3F,3A,3G,3L,3K
382,ABCFGIKL,3I,3G,3B,3C,3A,3F,3L,3K
383,ABCFGIJL,3C,3J,3B,3F,3A,3G,3L,3I
384,ABCFGIJK,3C,3J,3B,3F,3A,3G,3I,3K
385,ABCFGHKL,3H,3G,3B,3C,3A,3F,3L,3K
386,ABCFGHJL,3H,3G,3B,3C,3A,3F,3L,3J
387,ABCFGHJK,3H,3G,3B,3C,3A,3F,3J,3K
388,ABCFGHIL,3H,3G,3B,3C,3A,3F,3L,3I
389,ABCFGHIK,3H,3G,3B,3C,3A,3F,3I,3K
390,ABCFGHIJ,3H,3G,3B,3C,3A,3F,3I,3J
391,ABCEIJKL,3E,3J,3B,3A,3I,3C,3L,3K
392,ABCEHJKL,3E,3J,3B,3C,3A,3H,3L,3K
393,ABCEHIKL,3E,3I,3B,3C,3A,3H,3L,3K
394,ABCEHIJL,3E,3J,3B,3C,3A,3H,3L,3I
395,ABCEHIJK,3E,3J,3B,3C,3A,3H,3I,3K
396,ABCEGJKL,3E,3J,3B,3C,3A,3G,3L,3K
