Round,Date,Group,Team A,Team B,A Overall Eff,B Overall Eff,A Goal Eff,B Goal Eff,Combined Eff,Combined Goal,Difference Eff,Quality Rank,Offense Rank,Closeness Rank,Avg Rank,Overall Rank
2,6/21/2026,H,Spain,Saudi Arabia,2.04,-0.51,2.75,2.18,1.53,4.93,2.555023012,25,43,72,46.66666667,56
2,6/21/2026,G,New Zealand,Egypt,-0.53,0.52,2.37,2.18,0.00,4.55,1.050350929,64,61,46,57,70
2,6/22/2026,I,Norway,Senegal,1.09,0.78,3.00,2.75,1.87,5.75,0.3134776232,15,3,11,9.666666667,1
2,6/22/2026,J,Argentina,Austria,1.84,1.14,2.46,2.74,2.98,5.20,0.6969569791,3,25,34,20.66666667,6
2,6/22/2026,J,Jordan,Algeria,-0.08,0.53,3.14,2.34,0.45,5.48,0.6115352045,55,14,28,32.33333333,31
2,6/22/2026,I,France,Iraq,1.76,-0.40,2.56,2.01,1.37,4.56,2.159588212,31,60,69,53.33333333,66
2,6/23/2026,L,Panama,Croatia,0.07,1.03,2.90,2.66,1.10,5.56,0.9585379885,38,9,39,28.66666667,21
2,6/23/2026,L,England,Ghana,1.40,0.03,2.44,2.83,1.43,5.26,1.360211324,30,23,55,36,38
2,6/23/2026,K,Colombia,DR Congo,1.66,0.35,2.71,1.68,2.01,4.39,1.305886342,13,66,52,43.66666667,50
2,6/23/2026,K,Portugal,Uzbekistan,1.36,-0.02,2.57,1.95,1.34,4.52,1.372713647,32,63,56,50.33333333,63
3,6/24/2026,C,Scotland,Brazil,0.39,1.39,2.73,2.63,1.77,5.36,0.9998090731,16,18,43,25.66666667,15
3,6/24/2026,B,Switzerland,Canada,0.87,0.30,2.82,2.37,1.17,5.19,0.5667123544,35,27,25,29,22
3,6/24/2026,A,Czech Republic,Mexico,0.16,0.69,2.85,2.10,0.85,4.95,0.5309030241,45,42,21,36,38
3,6/24/2026,A,South Africa,South Korea,0.13,0.24,2.16,2.66,0.37,4.82,0.1143217947,58,47,6,37,41
3,6/24/2026,B,Bosnia and Herzegovina,Qatar,-0.31,-1.15,2.30,2.82,-1.46,5.11,0.8414277898,72,32,37,47,58
3,6/24/2026,C,Morocco,Haiti,1.05,-0.80,2.10,2.81,0.25,4.91,1.851470384,61,44,64,56.33333333,69
3,6/25/2026,E,Ecuador,Germany,1.09,1.42,1.74,2.90,2.51,4.64,0.3356325779,6,58,12,25.33333333,14
3,6/25/2026,D,Turkey,United States,0.85,0.30,2.69,2.72,1.15,5.41,0.5490438201,36,17,23,25.33333333,14
3,6/25/2026,F,Tunisia,Netherlands,0.48,1.43,2.01,2.83,1.91,4.84,0.9455656269,14,45,38,32.33333333,31
3,6/25/2026,F,Japan,Sweden,1.07,0.04,2.30,3.15,1.11,5.45,1.026203911,37,15,45,32.33333333,31
3,6/25/2026,D,Paraguay,Australia,0.61,0.34,1.93,2.51,0.95,4.44,0.264735911,42,64,8,38,44
3,6/25/2026,E,Curacao,Ivory Coast,-0.93,0.64,2.68,2.42,-0.29,5.10,1.564601854,68,34,60,54,67
3,6/26/2026,I,Norway,France,1.09,1.76,3.00,2.56,2.85,5.56,0.6729245573,4,10,33,15.66666667,3
3,6/26/2026,H,Uruguay,Spain,1.22,2.04,2.06,2.75,3.27,4.82,0.8196877842,1,48,36,28.33333333,20
3,6/26/2026,G,Egypt,Iran,0.52,0.44,2.18,2.62,0.97,4.80,0.08390585813,41,50,5,32,28
3,6/26/2026,H,Cape Verde,Saudi Arabia,0.03,-0.51,2.91,2.18,-0.48,5.09,0.5428642921,70,35,22,42.33333333,47
3,6/26/2026,I,Senegal,Iraq,0.78,-0.40,2.75,2.01,0.38,4.76,1.173186031,57,52,47,52,64
3,6/26/2026,G,New Zealand,Belgium,-0.53,1.10,2.37,2.37,0.58,4.74,1.626668881,51,53,61,55,68
3,6/27/2026,K,Colombia,Portugal,1.66,1.36,2.71,2.57,3.01,5.27,0.303701242,2,22,9,11,2
3,6/27/2026,J,Algeria,Austria,0.53,1.14,2.34,2.74,1.67,5.08,0.6118528385,20,36,29,28.33333333,20
3,6/27/2026,J,Jordan,Argentina,-0.08,1.84,3.14,2.46,1.76,5.60,1.920345022,17,7,65,29.66666667,23
3,6/27/2026,L,Croatia,Ghana,1.03,0.03,2.66,2.83,1.06,5.49,0.9933504809,39,13,42,31.33333333,26
3,6/27/2026,L,Panama,England,0.07,1.40,2.90,2.44,1.46,5.34,1.325398832,27,19,54,33.33333333,34
3,6/27/2026,K,DR Congo,Uzbekistan,0.35,-0.02,1.68,1.95,0.34,3.63,0.3705285466,59,72,16,49,61
